B1,B2,B3
1,1,cakhvas
2,1,rujAya
3,1,turIya
4,1,bhuvanapratiSThAdAnavidhi
5,1,tUSNIMgaGga
6,2,cikartiSu
7,2,vihan
8,2,bodhitavya
9,2,vAtsi
10,2,zukamahimnaHstava
11,2,niSparikara
12,3,utplava
13,4,mahAkaruNatA
14,4,parApat
15,5,medas
16,5,himazratha
17,5,prasikta
18,6,mUrtisaMcara
19,6,prAkzas
20,6,pracaNDazarakArmuka
21,6,upataTam
22,6,smArakatva
23,6,samantadugdhI
24,6,grahAdhyAya
25,7,kevAsIbhU
26,7,zaubhuzubha
27,7,puNyapratApa
28,7,bhUridyumna
29,7,paJcagupti
30,7,saptahan
31,7,devamata
32,7,nagnIkR
33,7,vAnarApasada
34,7,uddAnta
35,8,kAlamArtANDa
36,8,vipratA
37,8,bhasmazuddhikara
38,9,Adhidaivika
39,9,urupuSpikA
40,9,kapotapAkI
41,9,trivat
42,9,vAkyAmRta
43,9,puraetR
44,9,svayaMdina
45,9,tadanta
46,9,pauSTI
47,9,jyotiSpakSa
48,9,vizvezvarIpaddhati
49,10,amliman
50,10,zravaNakAtaratA
51,10,nirAyam
52,10,madAmbara
53,10,caikitya
54,10,vizvezvaranAtha
55,10,zRGgalA
56,10,kSIrodajA
57,10,mArjAlIya
58,10,vikSAva
59,11,zATIpicchaka
60,11,duHkhavAsa
61,11,pariziSTaprakAza
62,11,nigharSaNa
63,11,vaiyAkRta
64,11,dvaMda
65,11,naSTaprazna
66,12,saMviddha
67,12,Amizlatama
68,12,atisaMdhA
69,13,phalapAdapa
70,13,samRddhivRddhilAbha
71,13,SoDaziprayoga
72,13,mithUkRt
73,13,asrIvi
74,13,zabdArNavacandrikA
75,14,nAnAphalamaya
76,14,amyak
77,14,uzij
78,14,mAMspacana
79,14,zauvApada
80,14,jambhIra
81,14,arthalAghava
82,14,Apyeyatva
83,14,valiza
84,14,vrAtapatIya
85,15,AkAzAtman
86,15,zuklamehin
87,15,suvedana
88,16,pratikAra
89,16,ardhavazA
90,16,siddhIzvara
91,16,dAkSinagarIya
92,17,vijJAnapati
93,17,gRhAzrama
94,17,vimokam
95,17,nandibharata
96,17,uttAnabarhis
97,18,zatodara
98,19,zayaNDa
99,20,pur
100,20,amararAja
101,20,kRtrimatA
102,20,kaikeyI
103,21,pRSTisAcaya
104,21,hariharayoga
105,21,eNAGka
106,21,suSaMsad
107,21,prakartR
108,21,agratas
109,22,prANAyya
110,22,kaumArikeya
111,22,gambhIrA
112,23,nirghRNatva
113,23,bASpikA
114,23,Atmastava
115,23,ahaHzeSa
116,23,svapradhAnatA
117,23,navadvAra
118,23,pASaNDa
119,23,khAlatya
120,23,rAjakartR
121,23,sukhopagamya
122,23,gardabhaya
123,24,sukhapratibandhitA
124,24,hastadhAtrI
125,24,zrautaprazna
126,25,suvarNasteyin
127,25,dharuNa
128,25,nikRSTabhUta
129,25,grahaNAnta
130,25,apratiyogin
131,25,samudragupta
132,25,mAdhumataka
133,25,praNI
134,25,virajA
135,26,pANika
136,26,kAlavidvas
137,26,utkalikA
138,26,hila
139,26,jayanIrAjana
140,26,kAkila
141,26,aparaspara
142,26,golIgulaparivartana
143,26,himamitra
144,26,haribhAskarazarman
145,26,kuzastamba
146,27,madhugluntha
147,27,nagnAcArya
148,27,anityasamAsa
149,27,zItaprada
150,27,prAcinvat
151,27,pAdapratiSThAna
152,27,jAtavat
153,28,zikhaNDI
154,29,zrutavRttADhya
155,29,praticint
156,29,zirovartin
157,29,vAyuvalanapaJcataraMgiNImAhAtmya
158,29,prAcInazivastuti
159,29,sumpaluNTha
160,29,matsaramanas
161,29,vibhISaNAbhiSeka
162,29,prahitu
163,29,saMnikSAra
164,30,gohara
165,30,yAyAta
166,30,mitArthabhASin
167,30,lohitoda
168,30,durgilA
169,30,pravAhaNI
170,30,vArddhuSin
171,30,vijayapurakathA
172,30,avidriya
173,30,haritacchada
174,31,agnidAyaka
175,31,trapAka
176,31,aurava
177,31,sAmavidhAnabrAhmaNa
178,32,rukmiNIpariNaya
179,32,AbherI
180,32,vinigrah
181,33,suparila
182,33,zvabhakSya
183,33,vRSaN
184,34,bhAsmAyana
185,34,zeva
186,34,agnisAvarNi
187,34,zabdakaumudI
188,34,smRtiratnakoza
189,35,navodaya
190,35,kAmadUtikA
191,35,raGgarAmAnujIya
192,35,corA
193,36,kuvalayanayanA
194,36,kathana
195,36,guNAguNa
196,36,kUTasthadIpa
197,36,kuNDalI
198,36,viSpardhas
199,36,mahAdevapuNyastambhakara
200,36,nAvopajIvana
201,36,pUrvapAJcAlaka
202,36,sarvaprakAram
203,36,soSyantIsavana
204,37,zAstravipratiSiddha
205,37,vartulAtantra
206,37,brAhmaudanika
207,37,sRgAla
208,37,sindhugaJja
209,37,sarvavinda
210,37,brahmaghna
211,37,vaidyAdhara
212,37,dhArAdharAtyaya
213,37,iSavat
214,38,badarIprastha
215,39,sAdhyAbhAva
216,39,rathavAhana
217,39,Akapiza
218,39,nimardaka
219,39,pUrvagama
220,39,vAlukin
221,39,ratnapati
222,39,sAbhilASam
223,39,apadhvaMsaja
224,39,lavaNiman
225,40,busA
226,40,dvArapa
227,40,roSabhASaNa
228,40,bhujagazizusRta
229,40,dattAnapakarman
230,40,vAcyaliGgaka
231,40,lokagAthA
232,41,gaganAyasa
233,41,asiddhArtha
234,41,duSkarman
235,41,jAGgulika
236,41,adhI
237,41,vaiyAsava
238,41,sainya
239,41,prANaMdada
240,41,ayodhyA
241,41,siMhIkR
242,41,ekasthAna
243,42,sul
244,43,zaGkavya
245,43,dhUtapApA
246,43,AgaskRta
247,43,upodita
248,43,vyAsavana
249,43,ambunidhi
250,43,satyatapas
251,43,caturaGgiNI
252,43,vaTT
253,44,yavakrIta
254,44,zvetiman
255,44,mInavat
256,44,lAlika
257,44,niHkSi
258,44,ziziraya
259,44,vimalavegazrI
260,44,dIptAMzu
261,44,mukhamArjana
262,44,zoNitazarkarA
263,45,vighasa
264,45,parikarmita
265,45,kRtAbhyanujJa
266,45,saMgataka
267,45,praNejana
268,45,rasAyanAmRtalauha
269,46,candrakSaya
270,47,pArejalam
271,47,takSazila
272,47,puruSadantikA
273,47,vivekArtham
274,47,bhArasAdhin
275,47,niSaGgin
276,48,vetasapattra
277,48,nirapavartana
278,49,bhUpativezman
279,49,vilAsavihAra
280,49,nirdhArtarASTra
281,49,bASpaviklababhASin
282,49,vAgyAma
283,49,ekataya
284,50,saMraktalocana
285,50,upopaparAmRz
286,50,zilpin
287,50,sitAbhA
288,50,kASThapattropajIvin
289,51,mahAprItivegasambhavamudrA
290,51,saMhatavRttoru
291,51,AmraphalaprapAnaka
292,51,kRSNasarSapa
293,51,muJcAta
294,51,alAtAkSI
295,51,anyokas
296,51,nArAyaNopaniSatsAra
297,51,viruddha
298,52,upadAsuka
299,52,srukpAtra
300,52,salilastambhin
301,52,guNavAcaka
302,53,kimparyantam
303,53,vidyAgama
304,53,tak
305,54,dham
306,55,upodbalaya
307,55,sAramahat
308,55,vAtaroga
309,55,jADya
310,55,bhArgavArcanadIpikA
311,55,surASTrAdhipati
312,55,udvIkS
313,55,prAyagata
314,55,atibhISaNa
315,55,proddhUSita
316,55,rebhin
317,56,sakoza
318,57,dvidaNDi
319,58,anabhipreta
320,59,tAnasvara
321,59,zIlavrata
322,59,zrIbhakSa
323,59,viSNucandra
324,60,punarAvarta
325,60,tADanI
326,61,pragAman
327,62,buddhiskandhamaya
328,62,candrAbhavaktra
329,62,supAva
330,62,apakvAzin
331,62,priyApatya
332,62,pAdmavedamantra
333,62,cakaTyodana
334,62,kSudrakAravellI
335,62,yazobhagya
336,62,samitimardana
337,62,ziT
338,63,sAvadhAraNa
339,63,upanAya
340,63,kapotaroman
341,63,veNirAma
342,63,Atmaka
343,63,saptajAmi
344,64,atyugra
345,64,apadAntara
346,64,tantuvAya
347,64,samAsev
348,64,dadhImukha
349,64,undanI
350,64,saundaryalaharI
351,64,pAdaparuhA
352,65,sUryadatta
353,66,svask
354,67,viprabuddha
355,67,aciradyuti
356,67,dharmaplava
357,67,jayamatI
358,67,vighaT
359,67,prativaira
360,67,Rtanidhana
361,67,aNDavardhana
362,67,saptamIsamAsa
363,67,lUna
364,68,paJcAzatsahasrImahAkAlasaMhitA
365,69,anupazAnta
366,69,tulyam
367,69,jalavalkala
368,69,atarSulam
369,69,geSNa
370,69,skandabhaTTa
371,69,anuddhAna
372,69,doSakalpana
373,69,mahApratIhAra
374,69,amariSNu
375,69,adyAgreNa
376,70,vihagendrasaMhitA
377,71,pUtikITa
378,71,vAsantI
379,71,sadyaHkrI
380,71,zabdabhedin
381,71,pratyuS
382,71,bhagavadgItArthasaMgraharakSA
383,71,samRdha
384,71,sItASTottarazatanAmAvali
385,71,gRhasthadharma
386,71,anusaMsR
387,71,laghubuddhapurANa
388,72,manuSyajAtaka
389,72,sahajakIrti
390,72,ram
391,72,zAkyabuddha
392,72,prakAzakraya
393,73,videzavAsa
394,73,pUrvakarmakRtavAdin
395,73,vikrAntagati
396,73,matha
397,73,abhiparihan
398,73,vyAhAva
399,73,zukazimbA
400,73,dIrghIkR
401,73,jIvitAntakara
402,74,svAlakSaNa
403,74,chandazcit
404,74,abhizaGkin
405,74,vimana
406,74,vAlukAmbhas
407,74,bahirjAnu
408,74,adhaHsaMvezin
409,75,kAhAbAha
410,75,bahuvrIhi
411,75,tRNajAti
412,75,parihArin
413,75,prAvarga
414,75,rasamAtR
415,75,digdhaphala
416,75,dviveda
417,75,kusumavicitrA
418,76,zatadvaya
419,76,supIvan
420,76,anuyAga
421,76,nItinipuNa
422,76,SaTkarman
423,76,mAdhavAcArya
424,76,kSipaNi
425,77,darvarIka
426,77,sthUlamukha
427,77,jaTApATha
428,77,mantrakAla
429,77,akiJcaniman
430,77,pAGgulyahAriNI
431,77,lokabhAvin
432,77,mArgazIrSa
433,77,avipra
434,77,ardhacandraka
435,78,vanajIvin
436,78,salha
437,78,zarAgniparimANa
438,78,trivRnta
439,79,sukhazayyA
440,79,vizalyAsaMgama
441,79,pratilomAnuloma
442,79,kumudasuhRd
443,79,zvetabhadra
444,79,cippa
445,79,yajJavalka
446,79,ovA
447,79,mahApaurava
448,79,bha
449,80,vaidhahiMsAghatimiramArtaNDodaya
450,80,ArAdhita
451,81,pratIkSin
452,81,tapuSI
453,81,zvaHprabhRti
454,81,pradyumnAcArya
455,81,daundubhi
456,81,zastravikrayin
457,81,sthirapreman
458,81,avaruj
459,81,suptaghAtaka
460,82,visraMsraMsana
461,82,indrAgnidaiva
462,82,svAdurasA
463,82,paThitatva
464,82,yuta
465,82,samIragajakesarin
466,82,sainyanivezabhUmi
467,82,jyotiSaratnamAlA
468,82,adUrabhava
469,82,vidyAdharacakravartin
470,82,dezakAlavid
471,83,pragaNikA
472,83,bhaktirasAyana
473,83,sugandha
474,84,subahudhA
475,84,mAsala
476,84,upapati
477,84,zukramehin
478,84,cukkasa
479,84,bAhuvikSepa
480,84,ADindikA
481,84,zIrNapuSpa
482,84,vRttapratyayakaumudI
483,85,pattave
484,85,AkhuyAna
485,85,puruSAdya
486,85,saMnikRS
487,85,syedu
488,85,unnAmya
489,85,acarmaka
490,85,visUritA
491,85,mRdujAtIya
492,85,sAMvaidya
493,85,saMtApavat
494,86,lakSmImantra
495,86,nirIza
496,86,Abandh
497,86,pUrvanivAsa
498,86,niHzama
499,86,rasahArin
500,86,mahar
501,86,triratna
502,86,tvarayA
503,87,hanUSa
504,87,ravigraha
505,87,visRSTavAc
506,87,samudghAta
507,87,iddha
508,87,lIlAmbuja
509,88,liptikA
510,89,sampraNetR
511,89,anupraruh
512,89,virasIbhAva
513,89,zatAjit
514,89,nigUDha
515,90,lohitazuklakRSNa
516,90,lokarakSa
517,90,dRDhaprahAra
518,90,madhupAnakala
519,91,suratagahvarA
520,91,amlanimbUka
521,91,pAdArghya
522,91,uccumbya
523,91,aupAsanika
524,91,maGgalavRSabha
525,91,puMdevata
526,92,zlokya
527,92,niraja
528,92,zilpakarman
529,92,viphalAza
530,93,nItikathA
531,93,zrAddhopayogivacana
532,93,tiryaggatimatin
533,94,vamanIya
534,95,vizAlila
535,95,nijakarman
536,95,pUrvAdhyuSita
537,96,dattAtman
538,96,vibhasman
539,96,anvavasthA
540,96,mAnayajJa
541,96,yUpAvaTya
542,96,gaNezasahasranAman
543,96,sabhANDa
544,96,samIbhU
545,97,vArimasi
546,97,vAgvyApAra
547,97,ekavastratA
548,97,AhnikAcAratattva
549,97,caturasraka
550,97,paJcAGgAnayana
551,97,samAMzena
552,97,saMzIlana
553,97,bhagnadaMSTra
554,97,turaMgamazAlA
555,98,abhivyAhRtya
556,98,zazipriyA
557,98,kaizika
558,98,vilaya
559,98,motIrAma
560,98,yathAbhAjanam
561,98,acyutacyut
562,98,laghucitrAlaMkAra
563,98,anyathAdarzana
564,98,vikRtodara
565,98,siddhAntakaumudIgUDhaphakkikAprakAza
566,99,sUrkS
567,99,vipanyu
568,99,tAluvidradhI
569,99,palAzanagara
570,99,nityamaya
571,99,AndhrI
572,99,aMzAMsi
573,99,pazcimatantra
574,99,IrSu
575,100,gUna
576,100,tathya
577,100,veSTapAla
578,100,bhrAtRpadmavana
579,100,malligandhi
580,100,vAmanetrA
581,100,dhaya
582,100,karmAnta
583,100,ArAgra
